Experiment Name:;2019-04-09_BCD057_Adal_Binding_CO-Adal-186011218R_Adal58-29-186020818R_Adal57-97-186030818R_Parсur Template

Tube Name:;Sample ID:;live singlets Events;live singlets Median PE-A
01-setup-A12;control;36897;707874,1
01-unstained-B1;control1;23735;306,8
01-isotype-B2;control2;24079;338,2
01-0-B3;ST1_1;24683;393,9
01-0.0015241579-B4;ST1_2;24103;5005,0
01-0.0045724-B5;ST1_3;23706;13117,0
01-0.0137174211-B6;ST1_4;23908;34586,8
01-0.041152263-B7;ST1_5;22892;93405,0
01-0.12345679-B8;ST1_6;21658;261988,5
01-0.37037037-B9;ST1_7;23790;597796,9
01-1.11111-B10;ST1_8;20191;678666,7
01-3.33333-B11;ST1_9;20698;695734,4
01-10-B12;ST1_10;17944;712207,1
01-unstained-C1;control1;25028;312,5
01-isotype-C2;control2;21190;327,7
01-0-C3;ST1_1;24357;418,6
01-0.0015241579-C4;ST1_2;22093;4109,6
01-0.0045724-C5;ST1_3;25481;11405,4
01-0.0137174211-C6;ST1_4;21704;31871,9
01-0.041152263-C7;ST1_5;21776;87445,2
01-0.12345679-C8;ST1_6;20099;236251,9
01-0.37037037-C9;ST1_7;21274;559278,9
01-1.11111-C10;ST1_8;18766;687617,4
01-3.33333-C11;ST1_9;18408;695604,0
01-10-C12;ST1_10;17466;701720,3
01-unstained-D1;control1;22757;311,1
01-isotype-D2;control2;26214;329,3
01-0-D3;ST1_1;23664;385,8
01-0.0015241579-D4;ST1_2;23963;4050,4
01-0.0045724-D5;ST1_3;21260;11141,0
01-0.0137174211-D6;ST1_4;22161;30961,2
01-0.041152263-D7;ST1_5;20795;82019,0
01-0.12345679-D8;ST1_6;21114;236947,5
01-0.37037037-D9;ST1_7;22140;563483,4
01-1.11111-D10;ST1_8;20930;688494,2
01-3.33333-D11;ST1_9;17231;689782,1
01-10-D12;ST1_10;14641;700674,9
01-unstained-E1;control1;23898;303,8
01-isotype-E2;control2;24592;320,7
01-0-E3;ST2_1;22827;383,4
01-0.0015241579-E4;ST2_2;23204;4466,0
01-0.0045724-E5;ST2_3;22025;12288,5
01-0.0137174211-E6;ST2_4;21991;33041,4
01-0.041152263-E7;ST2_5;20437;89326,1
01-0.12345679-E8;ST2_6;21261;252268,4
01-0.37037037-E9;ST2_7;20408;584127,0
01-1.11111-E10;ST2_8;19234;665602,9
01-3.33333-E11;ST2_9;17838;676868,9
01-10-E12;ST2_10;19018;678030,2
01-unstained-F1;control1;18426;305,9
01-isotype-F2;control2;20118;326,4
01-0-F3;ST2_1;23547;378,9
01-0.0015241579-F4;ST2_2;20683;4454,3
01-0.0045724-F5;ST2_3;20920;11597,1
01-0.0137174211-F6;ST2_4;20573;32255,9
01-0.041152263-F7;ST2_5;21577;80243,7
01-0.12345679-F8;ST2_6;20505;234278,0
01-0.37037037-F9;ST2_7;21786;556083,9
01-1.11111-F10;ST2_8;19812;661247,9
01-3.33333-F11;ST2_9;20362;677244,0
01-10-F12;ST2_10;20011;709783,2
01-unstained-G1;control1;20492;305,4
01-isotype-G2;control2;21435;328,7
01-0-G3;ST2_1;24977;394,0
01-0.0015241579-G4;ST2_2;23467;3954,0
01-0.0045724-G5;ST2_3;22166;10653,2
01-0.0137174211-G6;ST2_4;22600;29559,2
01-0.041152263-G7;ST2_5;20189;79300,8
01-0.12345679-G8;ST2_6;20569;219478,5
01-0.37037037-G9;ST2_7;21342;521833,6
01-1.11111-G10;ST2_8;18866;660636,1
01-3.33333-G11;ST2_9;18627;660857,3
01-10-G12;ST2_10;18888;679108,0
02-unstained-B1;control1;18116;342,3
02-isotype-B2;control2;22385;351,5
02-0-B3;ST3_1;19176;423,9
02-0.0015241579-B4;ST3_2;18242;4633,5
02-0.0045724-B5;ST3_3;18997;13021,3
02-0.0137174211-B6;ST3_4;19488;35495,6
02-0.041152263-B7;ST3_5;18737;100411,8
02-0.12345679-B8;ST3_6;19145;278725,2
02-0.37037037-B9;ST3_7;17902;633290,8
02-1.11111-B10;ST3_8;16290;703374,9
02-3.33333-B11;ST3_9;17142;719004,5
02-10-B12;ST3_10;12501;747680,2
02-unstained-C1;control1;19969;337,0
02-isotype-C2;control2;20280;342,3
02-0-C3;ST3_1;13459;362,3
02-0.0015241579-C4;ST3_2;15283;3502,4
02-0.0045724-C5;ST3_3;18365;11053,6
02-0.0137174211-C6;ST3_4;16766;29995,5
02-0.041152263-C7;ST3_5;15948;92045,3
02-0.12345679-C8;ST3_6;14945;243134,4
02-0.37037037-C9;ST3_7;14654;607989,9
02-1.11111-C10;ST3_8;17077;697379,1
02-3.33333-C11;ST3_9;14178;717689,3
02-10-C12;ST3_10;12812;749174,5
02-unstained-D1;control1;16801;337,3
02-isotype-D2;control2;19464;339,7
